PRESSURE_INLET;TEMPERATURE_INLET;INLET_QV;EXHAUST_PRESSURE;EXHAUST_QV;Efficiency
110.0002124;538;0.58438836;0.1429;13.82133;0.85571577
124.0001859;510;0.842117349;0.08566;31.425;0.862898727
104.9998016;535;2.015147851;0.06142;6.26419;0.718223439
20.69997489;357;2.946245457;0.21;27.76781;0.870107609
86.70000425;482.001;1.914933514;0.08464;37.35861;0.906596685
110.0002124;538.1;1.480692098;0.0475;33.32444;0.893206453
63.9999631;439;2.175640553;0.1065;34.31028;0.913440483
129.9998944;540;1.605344298;0.0725;41.01167;0.907817552
66.89998564;418.3;2.085596947;0.145;39.07889;0.905055296
94.99996055;540;1.513014353;0.08;22.87061;0.900877231
118.0995246;550;0.892929734;0.08537;31.47667;0.875246672
129.9998944;540;0.840791349;0.0725;21.72472;0.889294937
88.25985;535;0.834451979;0.08495;14.84836;0.88287138
98.00001091;497;5.004973607;0.03398;32.36056;0.91796343
107.87315;535;2.266080624;0.09434;39.75361;0.891450829
74.99998434;430.521;8.511825036;0.12;176.65139;0.903988028
88.2800517;520.002;2.322961866;0.10795;42.67722;0.912629359
83.78134908;515;3.385955054;0.06282;27.09339;0.897721343
75.5899524;492.1;7.406555017;0.0645;186.78083;0.910281984
67.99999757;428;3.451956767;0.085;65.91611;0.8669467
135.9986222;540;2.935525132;0.06084;77.98639;0.907391492
119.8921802;579.49;1.298890941;0.05;46.85611;0.902465768
89.20000373;530;1.32649109;0.0555;37.40647;0.866941783
60.0000267;418;4.46063735;0.079;73.10556;0.910395102
67.99999757;428;3.451956767;0.085;65.555;0.900751014
82.69212446;537.722;2.954529615;0.09685;69.1575;0.927163376
119.8872769;579.49;1.298947582;0.05;46.82778;0.902657098
83.78134908;515;3.385955054;0.06282;27.19453;0.90246308
43.12003618;480;1.918631467;0.13243;21.97247;0.888931233
107.87315;535;2.243959097;0.09293;39.1375;0.906126141
69.99996577;424.224;3.902386672;0.12;73.37861;0.917524719
86.70000425;482.001;1.914933514;0.0846;37.23056;0.908244572
110.0002124;538.101;1.480950601;0.0475;33.335;0.908824146
118.1024666;550;0.892904983;0.08478;31.335;0.899516742
77.98140207;502;5.349181618;0.188;159.43333;0.908187391
107.87315;535;3.03413564;0.09316;77.07722;0.923327153
125.1661966;522.5;3.780335255;0.074;183.08806;0.85820457
137.7942198;578.248;5.564453284;0.112;55.83389;0.871497721
104.9998016;535;1.743548805;0.0603;4.88578;0.71465857
100.6701656;538.5;4.979925621;0.1637;171.2525;0.899186759
86.99998967;510;1.643161076;0.2;32.71583;0.884201805
84.00003737;535;2.143147669;0.03045;58.16333;0.918235081
77.39996579;535;2.337012255;0.02807;58.17;0.916474327
84.00003737;535;2.143147669;0.03045;58.16333;0.918215015
90.00004004;500;0.401800222;0.05089;10.56556;0.817561086
90.00004004;500;0.41163162;0.05141;10.97875;0.813980455
100.0003714;538;0.798806126;0.1;19.49111;0.889868487
94.61995286;535.61;2.193596443;0.07;28.06583;0.900577144
138.1462786;542.12;5.525248608;0.1395;222.855;0.921980519
130.2676159;530;10.69467634;0.125;413.08056;0.918039046
82.83991068;505;12.30802532;0.0749;20.61875;0.772656427
7.043528296;311.43;2.74571486;0.09;7.20908;0.851383781
79.49996182;488;0.964941789;0.06;12.2395;0.87245905
120.0000534;540;0.78579134;0.06;15.19378;0.872988541
49.99998956;408.6;1.780154683;0.123;14.44197;0.89504403
127.0000402;540;1.64445575;0.07502;40.96806;0.913482552
127.0000402;540;1.624935483;0.07195;40.65167;0.911203522
127.0000402;540;1.639654787;0.06841;40.71778;0.910585052
127.0000402;540;1.642220791;0.07211;40.85639;0.912327194
102.969825;534.996;1.124715721;0.17616;23.14983;0.878860531
38.99996832;398.5;3.510328769;0.1;37.11639;0.906250698
42.00001869;405;1.772873205;0.16;20.17872;0.877547707
78.49997772;448.574;1.693014342;0.07;35.16917;0.892490501
78.49997772;448.574;1.693003452;0.07;35.42944;0.901647048
130.4598263;530;5.338518999;0.125;206.48917;0.895418216
125.1004921;530;5.599245646;0.11;206.79167;0.886566195
121.7005265;530;5.603871932;0.261;202.88917;0.923568739
104.931155;535;1.876071872;0.096;13.03847;0.886988292
104.931155;535;1.876071872;0.096;13.03847;0.886988292
74.34391945;510;0.916475787;0.07;4.61236;0.904042945
64.50000418;429.373;1.657133734;0.101;29.36278;0.899562038
102.969825;534.996;1.137254821;0.17652;23.39208;0.877726692
110.0002124;553;0.943429767;0.08;2.64033;0.775662539
140.3347916;587.15;3.816707918;0.101;50.96603;0.91935311
137.4911943;574.22;3.760303897;0.078;29.16667;0.902019853
39.99995242;390;0.866879914;0.05008;7.49058;0.852880862
137.4706004;574.22;3.760918521;0.078;11.27256;0.81807443
138.461072;571.689;3.74623204;0.096;22.54361;0.889030979
137.4911943;574.22;3.760303897;0.078;29.16667;0.902019853
137.4706004;574.22;3.760918521;0.078;11.27256;0.81807154
55.99999223;425;2.276360051;0.0517;33.20944;0.906046523
55.99999223;425;2.276360051;0.05;33.60056;0.899495549
